workout_date,session_name,exercise,variant,set_no,weight,weight_unit,reps,rpe,pain,set_type,superset_group,superset_part,dropset_group,drop_no,timestamp,notes,session_notes,primary_muscle,secondary_muscle
2025-09-01,,Bench Press,Smith machine,1,60.0,kg,8,7.5,0.5,normal,,,,,2025-09-01T15:55:27,"Rehab | Slight pain left bicep, pin 6, slight incline",,Chest,Triceps
2025-09-01,,Bench Press,Smith machine,2,60.0,kg,8,7.5,0.5,normal,,,,,2025-09-01T15:55:27,"Rehab | Slight pain left bicep, pin 6, slight incline",,Chest,Triceps
2025-09-01,,Bench Press,Smith machine,3,60.0,kg,8,7.5,0.5,normal,,,,,2025-09-01T15:55:27,"Rehab | Slight pain left bicep, pin 6, slight incline",,Chest,Triceps
2025-09-01,,Lateral raise,Dumbbell,1,6.0,kg,20,6.0,0.5,normal,,,,,2025-09-01T15:56:03,Slight pain left bicep,,Side delts,Traps
2025-09-01,,Lateral raise,Dumbbell,2,8.0,kg,12,6.0,1.0,normal,,,,,2025-09-01T15:56:15,Slight pain left bicep,,Side delts,Traps
2025-09-01,,Lateral raise,Dumbbell,3,8.0,kg,12,6.0,1.0,normal,,,,,2025-09-01T15:56:15,Slight pain left bicep,,Side delts,Traps
2025-09-01,,Helm's row,Dumbbell,1,20.0,kg,12,7.0,0.5,normal,,,,,2025-09-01T15:57:34,,,Upper back,Lats
2025-09-01,,Helm's row,Dumbbell,2,20.0,kg,12,7.0,0.5,normal,,,,,2025-09-01T15:57:34,,,Upper back,Lats
2025-09-01,,Helm's row,Dumbbell,3,20.0,kg,12,7.0,0.5,normal,,,,,2025-09-01T15:57:34,,,Upper back,Lats
2025-09-01,,Hammer curl,Bands,1,999.0,kg,20,7.5,1.0,normal,,,,,2025-09-01T16:02:30,Rehab | Blue round band,,Biceps,Forearms
2025-09-01,,Hammer curl,Bands,2,999.0,kg,20,7.5,1.0,normal,,,,,2025-09-01T16:02:30,Rehab | Blue round band,,Biceps,Forearms
2025-09-01,,Hammer curl,Bands,3,999.0,kg,20,7.5,1.0,normal,,,,,2025-09-01T16:02:30,Rehab | Blue round band,,Biceps,Forearms
2025-09-01,,Single arm pushdown,,1,10.0,kg,20,8.5,2.0,normal,,,,,2025-09-01T16:05:50,Rehab | ERROR,,Triceps,nan
2025-09-01,,Single arm pushdown,,2,10.0,kg,20,8.5,2.0,normal,,,,,2025-09-01T16:05:50,Rehab | ERROR,,Triceps,nan
2025-09-01,,Single arm pushdown,,3,10.0,kg,20,8.5,2.0,normal,,,,,2025-09-01T16:05:50,Rehab | ERROR,,Triceps,nan
